name,docstring_length,code_length,examples_length,start_line,file
short_path,11,23,0,174,tools\refguide_check.py
get_overridable_numpy_array_functions,11,18,0,50,numpy\testing\overrides.py
maxes_of_dots,11,21,0,62,benchmarks\benchmarks\bench_app.py
get_num_build_jobs,11,32,0,76,numpy\distutils\misc_util.py
smallest_subnormal,11,22,0,63,numpy\_core\getlimits.py
flush,11,16,0,312,numpy\_core\memmap.py
harden_mask,11,17,0,3580,numpy\ma\core.py
soften_mask,11,17,0,3598,numpy\ma\core.py
character_backward_compatibility_hook,11,50,0,3631,numpy\f2py\crackfortran.py
write_array_header_2_0,11,14,0,480,numpy\lib\format.py
get_version,11,75,0,1951,numpy\distutils\misc_util.py
header_data_from_array_1_0,11,26,0,356,numpy\lib\format.py
var,11,74,0,5448,numpy\ma\core.py
markinnerspaces,12,35,0,1654,numpy\f2py\crackfortran.py
get_partial_dependency,12,17,0,205,vendored-meson\meson\mesonbuild\dependencies\base.py
tiny,12,15,0,616,numpy\_core\getlimits.py
find_executables,12,78,0,285,numpy\distutils\fcompiler\__init__.py
assemble_flags,12,23,0,188,numpy\distutils\command\build_clib.py
get_introspection_data,12,49,0,1915,vendored-meson\meson\mesonbuild\backend\backends.py
transpose,12,16,0,214,numpy\linalg\_linalg.py
allows_array_function_override,12,15,0,69,numpy\testing\overrides.py
smallest_normal,12,21,0,593,numpy\_core\getlimits.py
feature_sorted,12,25,0,1322,numpy\distutils\ccompiler_opt.py
build,12,19,0,98,.spin\cmds.py
detect_scanbuild,12,31,0,199,vendored-meson\meson\mesonbuild\environment.py
check_rest,12,72,0,538,tools\refguide_check.py
keys,12,18,0,129,numpy\lib\_datasource.py
has_samewindow,13,17,0,231,numpy\polynomial\_polybase.py
has_sametype,13,17,0,249,numpy\polynomial\_polybase.py
notes,13,60,0,585,.spin\cmds.py
has_samedomain,13,17,0,213,numpy\polynomial\_polybase.py
validate_rst_syntax,13,81,0,450,tools\refguide_check.py
data,13,17,0,316,numpy\_core\_internal.py
typed_kwargs,13,134,0,465,vendored-meson\meson\mesonbuild\interpreterbase\decorators.py
has_samecoef,13,17,0,190,numpy\polynomial\_polybase.py
has_header,13,19,0,690,vendored-meson\meson\mesonbuild\compilers\compilers.py
CCompiler_show_customization,13,22,0,450,numpy\distutils\ccompiler.py
get_subpackage,13,57,0,966,numpy\distutils\misc_util.py
assert_raises_regex,13,19,0,1441,numpy\testing\_private\utils.py
make_hg_version_py,13,18,0,2068,numpy\distutils\misc_util.py
feature_is_supported,13,27,0,1580,numpy\distutils\ccompiler_opt.py
argsort,14,19,8,714,numpy\_core\defchararray.py
magic,14,21,0,202,numpy\lib\format.py
substitute_values,14,69,0,1596,vendored-meson\meson\mesonbuild\utils\universal.py
create_target_source_introspection,14,49,0,769,vendored-meson\meson\mesonbuild\backend\ninjabackend.py
add_subpackage,14,40,0,1027,numpy\distutils\misc_util.py
make_svn_version_py,14,19,0,2027,numpy\distutils\misc_util.py
autostrip,14,19,0,149,numpy\lib\_iotools.py
feature_test,14,38,0,1540,numpy\distutils\ccompiler_opt.py
new_ccompiler_opt,14,21,0,2648,numpy\distutils\ccompiler_opt.py
get_all_dict,15,50,0,252,tools\refguide_check.py
get_using_msvc,15,25,0,1667,vendored-meson\meson\mesonbuild\build.py
prod,15,40,0,5283,numpy\ma\core.py
deriv,15,21,0,900,numpy\polynomial\_polybase.py
imag,15,22,6,4522,numpy\ma\core.py
feature_names,15,34,0,1274,numpy\distutils\ccompiler_opt.py
CCompiler_customize_cmd,15,52,0,376,numpy\distutils\ccompiler.py
real,15,22,6,4549,numpy\ma\core.py
ediff1d,16,35,6,1256,numpy\ma\extras.py
CCompiler_get_version,16,66,0,609,numpy\distutils\ccompiler.py
add_headers,16,28,0,1385,numpy\distutils\misc_util.py
iscode,16,19,0,41,numpy\_utils\_inspect.py
get_option_single,16,29,0,793,numpy\distutils\system_info.py
show_runtime,16,51,0,20,numpy\lib\_utils_impl.py
iter_included_files,16,22,0,1047,tools\refguide_check.py
compile_extension_module,16,28,0,80,numpy\testing\_private\extbuild.py
setxor1d,16,34,7,1374,numpy\ma\extras.py
union1d,16,21,7,1493,numpy\ma\extras.py
setdiff1d,16,26,6,1516,numpy\ma\extras.py
tolist,16,21,7,267,numpy\matrixlib\defmatrix.py
param_eval,16,60,0,3000,numpy\f2py\crackfortran.py
abspath,17,22,0,596,numpy\lib\_datasource.py
main,17,42,0,12,tools\find_deprecated_escaped_characters.py
has_nested_fields,17,25,4,59,numpy\lib\_iotools.py
any,17,22,0,551,numpy\matrixlib\defmatrix.py
descr_to_dtype,17,54,0,300,numpy\lib\format.py
trim,17,22,0,749,numpy\polynomial\_polybase.py
trimseq,17,21,0,37,numpy\polynomial\polyutils.py
filter,17,21,0,2316,numpy\testing\_private\utils.py
drop_metadata,17,22,0,711,numpy\lib\_utils_impl.py
upgrade,17,23,0,724,numpy\lib\_iotools.py
mod,17,21,0,181,numpy\_core\strings.py
get_shared_lib_extension,17,42,0,680,numpy\distutils\misc_util.py
allows_array_ufunc_override,17,21,0,27,numpy\testing\overrides.py
truncate,17,28,0,772,numpy\polynomial\_polybase.py
npy_load_module,18,26,0,116,numpy\compat\py3k.py
get_names,18,30,9,106,numpy\lib\recfunctions.py
round,18,35,8,5548,numpy\ma\core.py
check_doctests,18,74,0,851,tools\refguide_check.py
filled,18,23,0,6554,numpy\ma\core.py
getlincoef,18,70,0,2311,numpy\f2py\crackfortran.py
ids,18,25,11,4905,numpy\ma\core.py
determine_filenames,18,112,0,2221,vendored-meson\meson\mesonbuild\build.py
docs,18,32,0,139,.spin\cmds.py
lint,18,28,0,339,.spin\cmds.py
parse_flags,18,41,0,31,numpy\distutils\npy_pkg_config.py
rename_fields,19,37,7,609,numpy\lib\recfunctions.py
find_functions,19,89,0,223,numpy\_core\code_generators\genapi.py
parse_targets,19,53,0,1840,numpy\distutils\ccompiler_opt.py
decorate_methods,19,45,0,1462,numpy\testing\_private\utils.py
masked_not_equal,19,24,9,2078,numpy\ma\core.py
get_names_flat,19,30,9,138,numpy\lib\recfunctions.py
intersect1d,19,30,7,1342,numpy\ma\extras.py
cumprod,19,30,0,5325,numpy\ma\core.py
dtype_to_descr,19,31,0,244,numpy\lib\format.py
get_filenames_templates_dict,19,45,0,1667,vendored-meson\meson\mesonbuild\utils\universal.py
run_main,19,86,6,415,numpy\f2py\f2py2e.py
CCompiler_spawn,19,69,0,114,numpy\distutils\ccompiler.py
feature_untied,19,40,6,1443,numpy\distutils\ccompiler_opt.py
masked_less_equal,19,24,9,2052,numpy\ma\core.py
matrix_transpose,19,29,0,703,numpy\_core\fromnumeric.py
wrap_unlinkable_objects,19,24,0,726,numpy\distutils\fcompiler\__init__.py
rundocs,19,43,0,1336,numpy\testing\_private\utils.py
masked_less,19,24,9,2026,numpy\ma\core.py
abspath,19,41,0,374,numpy\lib\_datasource.py
masked_greater_equal,19,24,9,2000,numpy\ma\core.py
sort_complex,19,26,6,1767,numpy\lib\_function_base_impl.py
masked_greater,19,24,9,1974,numpy\ma\core.py
matrix_norm,19,25,0,3253,numpy\linalg\_linalg.py
feature_c_preprocessor,19,48,5,1662,numpy\distutils\ccompiler_opt.py
CCompiler_object_filenames,19,44,0,187,numpy\distutils\ccompiler.py
all,20,39,6,4958,numpy\ma\core.py
legweight,20,26,0,1589,numpy\polynomial\legendre.py
recfromtxt,20,43,0,2500,numpy\lib\_npyio_impl.py
upgrade_mapper,20,25,6,543,numpy\lib\_iotools.py
hermeweight,20,25,0,1620,numpy\polynomial\hermite_e.py
cutdeg,20,24,0,724,numpy\polynomial\_polybase.py
chebpts2,20,32,0,1957,numpy\polynomial\chebyshev.py
chebweight,20,26,0,1892,numpy\polynomial\chebyshev.py
cc_normalize_flags,20,30,8,1112,numpy\distutils\ccompiler_opt.py
do_copydir,20,36,0,453,vendored-meson\meson\mesonbuild\minstall.py
UnixCCompiler_create_static_lib,20,66,0,73,numpy\distutils\unixccompiler.py
detect_windows_arch,20,39,0,247,vendored-meson\meson\mesonbuild\environment.py
assert_raises,21,27,0,1412,numpy\testing\_private\utils.py
feature_implies,21,48,8,1348,numpy\distutils\ccompiler_opt.py
iscontiguous,21,26,14,4931,numpy\ma\core.py
recursive_fill_fields,21,36,6,37,numpy\lib\recfunctions.py
startswith,21,27,0,379,numpy\_core\strings.py
mT,21,29,0,6189,numpy\ma\core.py
common_fill_value,21,30,5,577,numpy\ma\core.py
A1,21,27,7,871,numpy\matrixlib\defmatrix.py
