0: ['swap_count1', 'diff0', 'expect4', 'Falses4', 'Trues5', 'out_len9', 'prom_len5', 'Trues==prom_len True']: .\log\np\np_asinh_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues9', 'out_len14', 'prom_len9', 'Trues==prom_len True']: .\log\np\np_asin_70B.log
0: ['swap_count1', 'diff0', 'expect6', 'Falses6', 'Trues12', 'out_len18', 'prom_len12', 'Trues==prom_len True']: .\log\np\np_asmatrix_70B.log
0: ['swap_count1', 'diff0', 'expect6', 'Falses6', 'Trues14', 'out_len20', 'prom_len14', 'Trues==prom_len True']: .\log\np\np_astype_70B.log
0: ['swap_count1', 'diff0', 'expect9', 'Falses9', 'Trues18', 'out_len27', 'prom_len18', 'Trues==prom_len True']: .\log\np\np_atan2_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues5', 'out_len10', 'prom_len5', 'Trues==prom_len True']: .\log\np\np_atanh_70B.log
0: ['swap_count1', 'diff0', 'expect10', 'Falses10', 'Trues18', 'out_len28', 'prom_len18', 'Trues==prom_len True']: .\log\np\np_atan_70B.log
0: ['swap_count1', 'diff0', 'expect4', 'Falses4', 'Trues16', 'out_len20', 'prom_len16', 'Trues==prom_len True']: .\log\np\np_atleast_1d_70B.log
0: ['swap_count1', 'diff0', 'expect6', 'Falses6', 'Trues14', 'out_len20', 'prom_len14', 'Trues==prom_len True']: .\log\np\np_atleast_2d_70B.log
0: ['swap_count1', 'diff0', 'expect7', 'Falses7', 'Trues24', 'out_len31', 'prom_len24', 'Trues==prom_len True']: .\log\np\np_atleast_3d_70B.log
0: ['swap_count1', 'diff0', 'expect8', 'Falses8', 'Trues43', 'out_len51', 'prom_len43', 'Trues==prom_len True']: .\log\np\np_average_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues35', 'out_len40', 'prom_len35', 'Trues==prom_len True']: .\log\np\np_bartlett_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues14', 'out_len19', 'prom_len14', 'Trues==prom_len True']: .\log\np\np_base_repr_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues17', 'out_len22', 'prom_len17', 'Trues==prom_len True']: .\log\np\np_binary_repr_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues28', 'out_len33', 'prom_len28', 'Trues==prom_len True']: .\log\np\np_bincount_70B.log
0: ['swap_count1', 'diff0', 'expect4', 'Falses4', 'Trues31', 'out_len35', 'prom_len31', 'Trues==prom_len True']: .\log\np\np_bitwise_and_70B.log
0: ['swap_count1', 'diff0', 'expect13', 'Falses13', 'Trues9', 'out_len22', 'prom_len9', 'Trues==prom_len True']: .\log\np\np_bitwise_count_70B.log
0: ['swap_count1', 'diff0', 'expect8', 'Falses8', 'Trues39', 'out_len47', 'prom_len39', 'Trues==prom_len True']: .\log\np\np_bitwise_invert_70B.log
0: ['swap_count1', 'diff0', 'expect4', 'Falses4', 'Trues31', 'out_len35', 'prom_len31', 'Trues==prom_len True']: .\log\np\np_bitwise_left_shift_70B.log
0: ['swap_count1', 'diff0', 'expect7', 'Falses7', 'Trues39', 'out_len46', 'prom_len39', 'Trues==prom_len True']: .\log\np\np_bitwise_not_70B.log
0: ['swap_count1', 'diff0', 'expect4', 'Falses4', 'Trues36', 'out_len40', 'prom_len36', 'Trues==prom_len True']: .\log\np\np_bitwise_or_70B.log
0: ['swap_count1', 'diff0', 'expect7', 'Falses7', 'Trues20', 'out_len27', 'prom_len20', 'Trues==prom_len True']: .\log\np\np_bitwise_right_shift_70B.log
0: ['swap_count1', 'diff0', 'expect7', 'Falses7', 'Trues29', 'out_len36', 'prom_len29', 'Trues==prom_len True']: .\log\np\np_bitwise_xor_70B.log
0: ['swap_count1', 'diff0', 'expect11', 'Falses11', 'Trues37', 'out_len48', 'prom_len37', 'Trues==prom_len True']: .\log\np\np_blackman_70B.log
0: ['swap_count1', 'diff0', 'expect12', 'Falses12', 'Trues62', 'out_len74', 'prom_len62', 'Trues==prom_len True']: .\log\np\np_block_70B.log
0: ['swap_count1', 'diff0', 'expect13', 'Falses13', 'Trues25', 'out_len38', 'prom_len25', 'Trues==prom_len True']: .\log\np\np_bmat_70B.log
0: ['swap_count1', 'diff0', 'expect10', 'Falses10', 'Trues19', 'out_len29', 'prom_len19', 'Trues==prom_len True']: .\log\np\np_broadcast_arrays_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues8', 'out_len13', 'prom_len8', 'Trues==prom_len True']: .\log\np\np_broadcast_shapes_70B.log
0: ['swap_count1', 'diff0', 'expect11', 'Falses11', 'Trues8', 'out_len19', 'prom_len8', 'Trues==prom_len True']: .\log\np\np_broadcast_to_70B.log
0: ['swap_count1', 'diff0', 'expect6', 'Falses6', 'Trues12', 'out_len18', 'prom_len12', 'Trues==prom_len True']: .\log\np\np_busday_count_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues26', 'out_len31', 'prom_len26', 'Trues==prom_len True']: .\log\np\np_busday_offset_70B.log
0: ['swap_count1', 'diff0', 'expect11', 'Falses11', 'Trues18', 'out_len29', 'prom_len18', 'Trues==prom_len True']: .\log\np\np_can_cast_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues5', 'out_len10', 'prom_len5', 'Trues==prom_len True']: .\log\np\np_cbrt_70B.log
0: ['swap_count1', 'diff0', 'expect4', 'Falses4', 'Trues6', 'out_len10', 'prom_len6', 'Trues==prom_len True']: .\log\np\np_ceil_70B.log
0: ['swap_count1', 'diff0', 'expect6', 'Falses6', 'Trues40', 'out_len46', 'prom_len40', 'Trues==prom_len True']: .\log\np\np_choose_70B.log
0: ['swap_count1', 'diff0', 'expect4', 'Falses4', 'Trues19', 'out_len23', 'prom_len19', 'Trues==prom_len True']: .\log\np\np_clip_70B.log
0: ['swap_count1', 'diff0', 'expect10', 'Falses10', 'Trues9', 'out_len19', 'prom_len9', 'Trues==prom_len True']: .\log\np\np_column_stack_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues9', 'out_len14', 'prom_len9', 'Trues==prom_len True']: .\log\np\np_common_type_70B.log
0: ['swap_count1', 'diff0', 'expect6', 'Falses6', 'Trues23', 'out_len29', 'prom_len23', 'Trues==prom_len True']: .\log\np\np_compress_70B.log
0: ['swap_count1', 'diff0', 'expect6', 'Falses6', 'Trues34', 'out_len40', 'prom_len34', 'Trues==prom_len True']: .\log\np\np_concatenate_70B.log
0: ['swap_count1', 'diff0', 'expect6', 'Falses6', 'Trues34', 'out_len40', 'prom_len34', 'Trues==prom_len True']: .\log\np\np_concat_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues10', 'out_len15', 'prom_len10', 'Trues==prom_len True']: .\log\np\np_conjugate_70B.log
